user_id,gender,age,country,subscription_type,listening_time_min,songs_per_day,skip_rate,device_type,ads_per_week,offline_listening_raw,is_churned,churn_label,offline_listening_flag,age_group,listens_per_minute,avg_session_like,ads_exposure_ratio
1,Female,54.0,CA,Free,26.0,23.0,0.2,Desktop,31.0,0,1,Churned,No,45-54,0.8846153846153846,11.304347826086957,1.3478260869565217
2,Other,33.0,DE,Family,141.0,62.0,0.34,Web,0.0,1,0,Active,Yes,25-34,0.4397163120567376,22.741935483870968,0.0
3,Male,38.0,AU,Premium,199.0,38.0,0.04,Mobile,0.0,1,1,Churned,Yes,35-44,0.19095477386934673,52.36842105263158,0.0
4,Female,22.0,CA,Student,36.0,2.0,0.31,Mobile,0.0,1,0,Active,Yes,18-24,0.05555555555555555,180.0,0.0
5,Other,29.0,US,Family,250.0,57.0,0.36,Mobile,0.0,1,1,Churned,Yes,25-34,0.228,43.859649122807014,0.0
6,Female,17.0,AU,Free,219.0,35.0,0.46,Desktop,13.0,0,0,Active,No,<18,0.1598173515981735,62.57142857142857,0.37142857142857144
7,Female,39.0,UK,Premium,289.0,44.0,0.38,Desktop,0.0,1,0,Active,Yes,35-44,0.1522491349480969,65.68181818181817,0.0
8,Female,41.0,UK,Free,210.0,68.0,0.11,Mobile,5.0,0,0,Active,No,35-44,0.3238095238095238,30.88235294117647,0.07352941176470588
9,Other,55.0,DE,Student,50.0,66.0,0.29,Web,0.0,1,0,Active,Yes,55-64,1.32,7.575757575757576,0.0
10,Male,44.0,DE,Free,278.0,94.0,0.38,Mobile,44.0,0,0,Active,No,35-44,0.3381294964028777,29.574468085106382,0.46808510638297873
11,Other,33.0,DE,Free,86.0,44.0,0.11,Web,37.0,0,0,Active,No,25-34,0.5116279069767442,19.545454545454543,0.8409090909090909
12,Other,24.0,CA,Free,113.0,24.0,0.56,Desktop,39.0,0,1,Churned,No,18-24,0.21238938053097345,47.083333333333336,1.625
13,Female,37.0,IN,Family,24.0,86.0,0.11,Desktop,0.0,1,0,Active,Yes,35-44,3.5833333333333335,2.7906976744186047,0.0
14,Female,53.0,US,Premium,45.0,47.0,0.6,Web,0.0,1,0,Active,Yes,45-54,1.0444444444444445,9.574468085106382,0.0
15,Other,37.0,IN,Family,114.0,13.0,0.44,Web,0.0,1,1,Churned,Yes,35-44,0.11403508771929824,87.6923076923077,0.0
16,Male,25.0,FR,Student,230.0,25.0,0.26,Desktop,0.0,1,0,Active,Yes,25-34,0.10869565217391304,92.0,0.0
17,Female,36.0,DE,Student,181.0,93.0,0.23,Mobile,0.0,1,0,Active,Yes,35-44,0.5138121546961326,19.462365591397848,0.0
18,Male,58.0,US,Family,120.0,8.0,0.41,Desktop,0.0,1,0,Active,Yes,55-64,0.06666666666666667,150.0,0.0
19,Female,34.0,DE,Family,160.0,32.0,0.35,Mobile,0.0,1,0,Active,Yes,25-34,0.2,50.0,0.0
20,Male,35.0,UK,Student,281.0,51.0,0.35,Desktop,0.0,1,0,Active,Yes,35-44,0.18149466192170818,55.09803921568628,0.0
21,Female,33.0,AU,Student,138.0,60.0,0.6,Web,0.0,1,0,Active,Yes,25-34,0.43478260869565216,23.0,0.0
22,Male,49.0,AU,Premium,20.0,7.0,0.45,Desktop,0.0,1,0,Active,Yes,45-54,0.35,28.571428571428573,0.0
23,Female,45.0,PK,Family,138.0,95.0,0.1,Desktop,0.0,1,0,Active,Yes,45-54,0.6884057971014492,14.526315789473685,0.0
24,Male,44.0,CA,Family,134.0,97.0,0.42,Web,0.0,1,0,Active,Yes,35-44,0.7238805970149254,13.814432989690722,0.0
25,Other,32.0,CA,Premium,133.0,22.0,0.59,Desktop,0.0,1,0,Active,Yes,25-34,0.16541353383458646,60.454545454545446,0.0
26,Female,19.0,US,Student,39.0,29.0,0.53,Desktop,0.0,1,0,Active,Yes,18-24,0.7435897435897436,13.448275862068966,0.0
27,Male,28.0,IN,Free,293.0,67.0,0.33,Mobile,23.0,0,1,Churned,No,25-34,0.22866894197952217,43.73134328358209,0.34328358208955223
28,Other,58.0,FR,Free,15.0,55.0,0.3,Mobile,35.0,0,0,Active,No,55-64,3.6666666666666665,2.727272727272727,0.6363636363636364
29,Male,33.0,FR,Free,123.0,13.0,0.22,Desktop,7.0,0,0,Active,No,25-34,0.10569105691056911,94.61538461538461,0.5384615384615384
30,Female,22.0,FR,Premium,18.0,12.0,0.39,Mobile,0.0,1,0,Active,Yes,18-24,0.6666666666666666,15.0,0.0
31,Other,44.0,UK,Premium,149.0,45.0,0.22,Web,0.0,1,0,Active,Yes,35-44,0.30201342281879195,33.111111111111114,0.0
32,Male,53.0,US,Student,72.0,12.0,0.17,Web,0.0,1,0,Active,Yes,45-54,0.16666666666666666,60.0,0.0
33,Female,49.0,IN,Premium,291.0,74.0,0.11,Mobile,0.0,1,0,Active,Yes,45-54,0.2542955326460481,39.32432432432432,0.0
34,Male,49.0,US,Family,147.0,52.0,0.43,Web,0.0,1,0,Active,Yes,45-54,0.35374149659863946,28.269230769230766,0.0
35,Female,55.0,FR,Premium,18.0,2.0,0.04,Mobile,0.0,1,0,Active,Yes,55-64,0.1111111111111111,90.0,0.0
36,Other,24.0,DE,Free,59.0,53.0,0.18,Web,28.0,0,1,Churned,No,18-24,0.8983050847457628,11.132075471698114,0.5283018867924528
37,Male,22.0,DE,Student,280.0,99.0,0.29,Desktop,0.0,1,0,Active,Yes,18-24,0.3535714285714286,28.28282828282828,0.0
38,Female,50.0,US,Family,117.0,98.0,0.04,Mobile,0.0,1,0,Active,Yes,45-54,0.8376068376068376,11.938775510204081,0.0
39,Female,42.0,DE,Family,47.0,59.0,0.06,Desktop,0.0,1,0,Active,Yes,35-44,1.2553191489361701,7.966101694915253,0.0
40,Male,17.0,DE,Family,260.0,44.0,0.5,Desktop,0.0,1,1,Churned,Yes,<18,0.16923076923076924,59.090909090909086,0.0
41,Female,51.0,UK,Premium,122.0,16.0,0.54,Desktop,0.0,1,0,Active,Yes,45-54,0.13114754098360656,76.25,0.0
